90001,33.97,-118.24
90002,33.94,-118.24
90003,33.96,-118.27
90004,34.07,-118.31
90005,34.06,-118.31
90006,34.05,-118.29
90007,34.02,-118.28
90008,34.01,-118.35
90009,33.94,-118.38
90010,34.06,-118.32
90011,34,-118.25
90012,34.06,-118.24
90013,34.05,-118.24
90014,34.04,-118.25
90015,34.03,-118.26
90016,34.02,-118.35
90017,34.05,-118.26
90018,34.02,-118.31
90019,34.04,-118.34
90020,34.07,-118.31
90021,34.03,-118.24
90022,34.02,-118.15
90023,34.02,-118.2
90024,34.06,-118.43
90025,34.04,-118.44
90026,34.07,-118.26
90027,34.12,-118.28
90028,34.1,-118.32
90029,34.09,-118.29
90030,34.06,-118.23
90031,34.09,-118.21
90032,34.08,-118.17
90033,34.04,-118.21
90034,34.03,-118.4
90035,34.05,-118.38
90036,34.06,-118.35
90037,34,-118.28
90038,34.09,-118.33
90039,34.11,-118.26
90040,33.99,-118.14
90041,34.13,-118.2
90042,34.11,-118.19
90043,33.98,-118.33
90044,33.95,-118.29
90045,33.95,-118.4
90046,34.11,-118.36
90047,33.95,-118.31
90048,34.07,-118.37
90049,34.08,-118.49
90050,34.12,-118.2
90051,34.06,-118.24
90052,33.97,-118.25
90053,34.05,-118.23
90054,34.06,-118.23
90055,34.04,-118.25
90056,33.99,-118.37
90057,34.06,-118.27
90058,34,-118.21
90059,33.93,-118.25
90060,33.99,-118.42
90061,33.92,-118.27
90062,34,-118.31
90063,34.04,-118.18
90064,34.03,-118.43
90065,34.1,-118.22
90066,34,-118.43
90067,34.06,-118.41
90068,34.13,-118.33
90069,34.09,-118.38
90070,34.06,-118.31
90071,34.05,-118.25
90072,34.09,-118.3
90073,34.05,-118.45
90074,34.05,-118.26
90075,34.06,-118.31
90076,34.06,-118.31
90077,34.1,-118.45
90078,34.1,-118.32
90079,34.04,-118.26
90080,33.95,-118.39
90081,34.05,-118.26
90082,34,-118.27
90083,33.95,-118.39
90084,34.05,-118.26
90086,34.06,-118.23
90087,34.06,-118.23
90088,34.05,-118.26
90089,34.02,-118.29
90090,34.07,-118.24
90091,33.99,-118.15
90093,34.09,-118.33
90094,33.98,-118.42
90095,34.07,-118.44
90096,33.96,-118.17
90099,34.06,-118.23
90101,33.99,-118.16
90102,34.01,-118.19
90103,33.99,-118.16
90189,34.06,-118.25
90201,33.97,-118.15
90202,33.96,-118.15
90209,34.07,-118.39
90210,34.09,-118.41
90211,34.06,-118.38
90212,34.06,-118.4
90213,34.05,-118.4
90220,33.87,-118.24
90221,33.87,-118.21
90222,33.91,-118.23
90223,33.89,-118.22
90224,33.87,-118.26
90230,33.99,-118.39
90231,33.99,-118.39
90232,34.02,-118.39
90233,33.98,-118.38
90239,33.93,-118.11
90240,33.95,-118.12
90241,33.94,-118.13
90242,33.92,-118.14
90245,33.91,-118.4
90247,33.89,-118.29
90248,33.88,-118.28
90249,33.89,-118.31
90250,33.91,-118.34
90251,33.91,-118.36
90254,33.86,-118.39
90255,33.97,-118.21
90260,33.88,-118.35
90261,33.89,-118.37
90262,33.92,-118.2
90263,34.04,-118.71
90264,34.04,-118.77
90265,34.06,-118.81
90266,33.88,-118.4
90267,33.87,-118.39
90270,33.99,-118.19
90272,34.07,-118.54
90274,33.77,-118.34
90275,33.75,-118.31
90277,33.83,-118.38
90278,33.87,-118.37
90280,33.94,-118.2
90290,34.1,-118.6
90291,33.99,-118.46
90292,33.98,-118.46
90293,33.94,-118.44
90294,33.98,-118.47
90295,33.97,-118.43
90296,33.95,-118.44
90301,33.95,-118.36
90302,33.97,-118.35
90303,33.93,-118.33
90304,33.94,-118.36
90305,33.95,-118.33
90306,33.95,-118.35
90307,33.95,-118.37
90308,33.95,-118.35
90309,33.97,-118.35
90310,33.93,-118.32
90311,33.95,-118.35
90312,33.96,-118.35
90313,33.96,-118.35
90397,33.96,-118.35
90398,33.96,-118.35
90401,34.01,-118.49
90402,34.03,-118.5
90403,34.03,-118.49
90404,34.02,-118.47
90405,34.01,-118.46
90406,34.01,-118.49
90407,34.01,-118.49
90408,34.02,-118.48
